legacy_id,donor_name,gift_date,gift_amount,gift_type,notes,migrated_date,data_source
31034,M. Moss,2018-10-14,19.18,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31035,Alison Moore,2021-12-13,23.96,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31036,Alison Moore,2021-10-21,43.88,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31037,"Moore, Alison",2018-06-23,64.8,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31038,L. Day,2020-05-16,3.7,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31039,L. Day,2019-05-09,9.21,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31040,L. Day,2018-09-29,24.75,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31041,Heather Ward,2022-10-23,19.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31042,Heather W.,2022-04-12,24.63,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31043,Zoe Johnson,2020-02-08,35.27,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31044,Z. Johnson,2022-04-25,17.57,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31045,"Johnson, Zoe",2018-02-15,7.94,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31046,Joanna M.,2019-12-29,1.61,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31047,G. Davies,2022-08-18,86.44,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31048,George Davies,2022-05-23,41.73,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31049,George Davies,2021-08-06,24.49,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31050,"Davies, George",2020-11-28,21.83,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31051,George D.,2021-10-07,32.38,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31052,"Edwards, Jennifer",2019-04-17,36.36,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31053,"Edwards, Jennifer",2022-04-26,74.24,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31054,"Brown, Lynne",2018-03-07,8.98,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31055,"Brown, Lynne",2019-03-22,16.22,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31056,Trevor B.,2018-09-17,3.77,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31057,T. Bailey,2018-12-04,65.39,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31058,T. Bailey,2022-07-28,26.32,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31059,Trevor Bailey,2019-04-01,92.67,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31060,Trevor B.,2021-03-18,8.82,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31061,Daniel Stewart,2018-12-24,12.99,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31062,Daniel S.,2018-10-21,22.83,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31063,Daniel Stewart,2022-05-07,25.79,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31064,D. Stewart,2019-04-25,40.45,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31065,Sophie Robinson,2018-02-04,27.46,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31066,"Robinson, Sophie",2018-07-04,4.62,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31067,R. Preston,2018-05-08,5.32,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31068,C. Thornton,2018-05-30,108.76,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31069,Dawn D.,2022-04-09,73.67,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31070,D. Dawson,2021-07-13,95.93,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31071,L. Jenkins,2020-10-19,14.99,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31072,"Jenkins, Leah",2021-08-30,64.45,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31073,Leah Jenkins,2021-01-15,115.53,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31074,"Jenkins, Leah",2020-06-30,51.76,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31075,L. Jenkins,2020-11-14,10.54,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31076,Jonathan S.,2021-09-11,51.86,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31077,Jonathan S.,2019-10-26,6.32,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31078,"Smith, Jonathan",2018-02-26,12.53,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31079,"Todd, Graham",2022-03-17,42.02,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31080,G. Todd,2021-12-30,19.76,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31081,G. Todd,2019-10-10,2.26,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31082,"Todd, Graham",2022-05-17,43.13,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31083,G. Todd,2018-12-13,30.18,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31084,Douglas Mistry,2019-02-16,69.78,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31085,Douglas Mistry,2019-01-24,13.91,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31086,Douglas Mistry,2021-07-09,19.66,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31087,Charlene Thompson,2022-04-30,6.31,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31088,C. Robinson,2018-07-30,27.41,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31089,Christian Robinson,2021-06-15,3.89,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31090,Christian R.,2018-01-30,17.83,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31091,Christian R.,2022-08-02,52.79,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31092,Sean T.,2019-08-08,25.42,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31093,"Barton, Peter",2022-11-20,13.73,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31094,P. Barton,2021-06-25,4.77,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31095,"Barton, Peter",2018-06-16,19.74,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31096,Peter Barton,2022-03-28,23.09,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31097,P. Barton,2018-12-28,9.59,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31098,Hazel Abbott,2018-01-29,19.64,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31099,Hazel A.,2018-10-30,31.8,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31100,Hazel A.,2020-02-01,22.51,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31101,"Abbott, Hazel",2019-02-07,83.15,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31102,H. Abbott,2020-06-26,39.3,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31103,Francis Jackson,2018-07-01,81.08,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31104,Francis J.,2018-05-17,175.13,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31105,Francis Jackson,2020-05-16,9.82,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31106,Francis J.,2022-03-08,47.08,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31107,F. Jackson,2021-01-25,46.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31108,Rhys Miller,2021-01-17,4.84,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31109,R. Miller,2020-10-07,16.98,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31110,Rhys M.,2020-06-21,7.45,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31111,"Cooke, Amber",2020-06-06,12.63,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31112,Amber C.,2022-12-13,55.93,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31113,"Carr, Dennis",2019-07-08,21.79,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31114,Hannah Y.,2021-10-01,4.89,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31115,Hannah Yates,2018-01-31,159.33,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31116,Hannah Yates,2018-02-08,18.48,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31117,R. Charlton,2019-08-16,6.96,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31118,Amy Smith,2018-01-14,419.47,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31119,A. Smith,2022-01-21,3.56,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31120,"Smith, Amy",2022-11-27,14.89,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31121,Amy Smith,2021-01-13,19.93,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31122,Kathleen Wood,2020-10-26,14.34,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31123,Beverley Moore,2021-04-09,44.45,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31124,Beverley M.,2020-06-25,26.09,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31125,Beverley M.,2021-11-30,20.6,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31126,Beverley M.,2022-05-25,70.36,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31127,Steven Stone,2018-06-06,22.81,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31128,S. Stone,2018-09-23,23.12,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31129,Steven S.,2019-06-19,7.84,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31130,J. Brown,2021-12-28,2.69,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31131,"Brown, Jill",2019-10-03,79.64,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31132,"Brown, Jill",2019-05-12,17.19,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31133,Jill Brown,2021-06-28,12.9,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31134,Megan Allen,2018-01-16,6.91,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31135,"Allen, Megan",2019-02-16,1.05,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31136,"Wilkinson, Benjamin",2018-07-22,2.29,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31137,"Wilkinson, Benjamin",2019-05-11,15.3,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31138,R. Sinclair,2022-05-15,23.15,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31139,R. Sinclair,2019-09-23,67.92,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31140,"Sinclair, Rhys",2022-01-12,115.67,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31141,Terence Riley,2021-08-05,98.04,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31142,T. Riley,2022-02-09,8.38,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31143,Terence Riley,2022-11-23,18.96,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31144,Terence Riley,2018-03-04,3.76,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31145,"Riley, Terence",2022-03-14,7.2,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31146,L. Slater,2022-11-21,60.96,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31147,L. Slater,2022-02-15,7.88,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31148,"Roberts, Sylvia",2022-07-30,2.9,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31149,Sylvia Roberts,2021-06-06,12.01,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31150,Sylvia R.,2022-05-30,14.08,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31151,"Norris, Elliott",2019-06-04,3.35,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31152,"Norris, Elliott",2021-01-13,17.7,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31153,Elliott N.,2018-04-17,8.29,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31154,Elliott Norris,2021-01-13,3.77,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31155,Rachel H.,2019-05-14,41.36,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31156,Rachel H.,2018-10-09,7.69,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31157,"Smith, Tina",2019-07-09,12.92,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31158,"Smith, Tina",2018-07-25,15.19,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31159,"Smith, Tina",2020-07-16,4.58,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31160,Tina S.,2019-04-10,19.74,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31161,Fiona S.,2019-10-08,2.72,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31162,A. Walker,2018-08-17,22.33,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31163,Amy Walker,2018-02-26,10.57,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31164,Leigh A.,2022-03-25,35.02,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31165,L. Anderson,2021-06-20,59.99,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31166,L. Anderson,2022-04-26,24.75,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31167,"Anderson, Leigh",2021-10-17,9.04,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31168,Leigh Anderson,2018-06-01,62.2,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31169,"Howard, Linda",2020-09-16,15.81,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31170,Linda H.,2021-06-13,5.13,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31171,Linda H.,2021-12-15,13.75,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31172,Samuel B.,2019-05-03,44.93,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31173,Samuel B.,2021-08-12,16.43,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31174,Samuel B.,2018-12-21,16.64,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31175,"Barker, Samuel",2019-03-24,14.21,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31176,R. Carroll,2022-02-24,107.72,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31177,"Carroll, Rita",2022-10-11,40.76,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31178,R. Carroll,2021-03-21,34.6,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31179,Jean H.,2020-09-25,9.53,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31180,J. Hill,2020-05-26,4.38,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31181,Jean Hill,2018-09-08,23.05,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31182,"Hill, Jean",2020-07-14,2.6,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31183,"Akhtar, Patrick",2018-10-10,162.83,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31184,"Coleman, Leah",2020-10-20,26.47,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31185,Leah Coleman,2020-02-10,4.69,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31186,J. Wheeler,2018-01-07,3.73,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31187,Judith Wheeler,2020-08-21,39.63,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31188,"Palmer, Nicola",2019-11-13,15.29,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31189,N. Palmer,2022-01-04,107.9,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31190,"Palmer, Nicola",2020-02-24,9.75,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31191,Teresa C.,2022-07-19,17.42,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31192,T. Cook,2020-08-27,27.29,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31193,T. Cook,2021-06-29,24.83,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31194,"Cook, Teresa",2021-01-27,13.68,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31195,Steven A.,2019-09-25,10.18,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31196,Steven A.,2018-11-07,10.27,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31197,Steven Atkinson,2021-03-26,14.67,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31198,"Atkinson, Steven",2019-09-03,22.42,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31199,Karl Smith,2021-03-05,58.18,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31200,Karl Smith,2019-10-08,21.34,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31201,"Smith, Karl",2020-12-28,19.71,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31202,"Nelson, Gemma",2019-05-08,13.4,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31203,"Nelson, Gemma",2020-02-16,4.34,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31204,G. Nelson,2018-05-23,5.95,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31205,Gemma N.,2021-12-16,202.63,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31206,"Farrell, Jayne",2020-03-27,5.85,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31207,Jayne F.,2020-05-01,14.96,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31208,Jayne F.,2019-10-14,17.47,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31209,Rachel Smart,2022-11-15,3.87,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31210,"Turner, Kieran",2021-08-09,11.67,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31211,Kieran Turner,2019-05-27,103.72,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31212,"Roberts, Victoria",2019-05-03,52.06,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31213,"Lamb, Barbara",2021-05-30,62.44,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31214,B. Lamb,2018-10-20,41.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31215,S. Wilson,2019-01-10,18.95,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31216,S. Wilson,2021-12-31,6.93,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31217,"Wilson, Shaun",2022-09-21,21.4,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31218,I. Wells,2018-09-13,27.84,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31219,I. Wells,2018-02-28,52.46,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31220,"Adams, Lucy",2019-12-22,55.42,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31221,Lucy A.,2020-09-03,197.17,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31222,Sean Berry,2019-03-28,6.02,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31223,"Stevens, Melanie",2021-09-21,24.01,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31224,"Stevens, Melanie",2022-09-21,15.35,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31225,Melanie Stevens,2018-01-06,46.01,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31226,"Stevens, Melanie",2019-03-23,70.84,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31227,Melanie Stevens,2021-02-14,28.6,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31228,C. Nixon,2022-01-11,8.21,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31229,C. Nixon,2020-03-06,19.75,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31230,"Palmer, Ben",2020-01-15,35.38,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31231,Ben Palmer,2022-09-07,18.74,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31232,B. Palmer,2021-05-19,9.99,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31233,"Palmer, Ben",2018-11-20,9.22,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31234,Georgia N.,2022-12-04,16.85,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31235,Georgia Newton,2021-01-07,20.53,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31236,G. Newton,2018-11-10,19.26,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31237,"Parsons, Jasmine",2021-12-15,8.89,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31238,"Parsons, Jasmine",2020-04-08,14.34,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31239,Jasmine P.,2021-10-20,1.49,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31240,Stuart M.,2021-05-18,81.03,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31241,S. Moore,2019-01-13,67.65,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31242,Stuart Moore,2020-06-03,64.27,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31243,G. Connor,2020-01-09,31.97,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31244,N. Iqbal,2018-03-13,34.73,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31245,N. Iqbal,2021-01-23,47.62,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31246,Declan M.,2020-01-08,4.51,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31247,"Wilson, Anna",2019-08-01,20.35,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31248,A. Wilson,2021-03-05,51.31,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31249,"Wilson, Anna",2020-09-28,15.15,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31250,"Patel, Lydia",2022-01-03,152.8,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31251,Lydia P.,2019-11-20,11.83,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31252,Lydia P.,2022-07-22,11.21,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31253,Lydia P.,2018-01-07,30.05,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31254,T. King,2021-02-20,78.41,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31255,A. Williams,2020-07-27,5.43,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31256,Aimee W.,2022-12-17,15.74,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31257,"Williams, Aimee",2018-08-16,17.5,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31258,A. Williams,2019-06-20,27.57,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31259,L. Cartwright,2020-03-14,12.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31260,Linda Cartwright,2022-10-25,602.35,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31261,Linda Cartwright,2020-05-10,76.94,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31262,Linda Cartwright,2019-07-13,15.06,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31263,Kenneth S.,2018-01-05,141.68,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31264,K. Smith,2020-05-24,11.28,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31265,Mary Carpenter,2019-11-20,82.34,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31266,M. Carpenter,2020-08-01,17.57,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31267,Mary C.,2020-07-20,23.74,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31268,Mary C.,2018-08-29,9.7,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31269,M. Carpenter,2022-01-05,4.25,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31270,Danny Edwards,2019-03-26,8.99,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31271,"Edwards, Danny",2021-08-19,50.59,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31272,Danny E.,2022-09-08,26.21,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31273,Danny E.,2022-10-17,90.82,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31274,"Edwards, Danny",2022-03-01,50.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
31275,"Roberts, James",2022-05-04,59.58,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
